Country,Confirmed,Deaths,Recovered,Active,Mortality Rate (%),Recovery Rate (%)
US,103802702,1123836,0,102678866,1.08,0.0
India,44690738,530779,0,44159959,1.19,0.0
France,39866718,166176,0,39700542,0.42,0.0
Germany,38249060,168935,0,38080125,0.44,0.0
Brazil,37076053,699276,0,36376777,1.89,0.0
Japan,33320438,72997,0,33247441,0.22,0.0
"Korea, South",30615522,34093,0,30581429,0.11,0.0
Italy,25603510,188322,0,25415188,0.74,0.0
United Kingdom,24658705,220721,0,24437984,0.9,0.0
Russia,22075858,388478,0,21687380,1.76,0.0
Turkey,17042722,101492,0,16941230,0.6,0.0
Spain,13770429,119479,0,13650950,0.87,0.0
Vietnam,11526994,43186,0,11483808,0.37,0.0
Australia,11399460,19574,0,11379886,0.17,0.0
Argentina,10044957,130472,0,9914485,1.3,0.0
Taiwan*,9970937,17672,0,9953265,0.18,0.0
Netherlands,8712835,23705,0,8689130,0.27,0.0
Iran,7572311,144933,0,7427378,1.91,0.0
Mexico,7483444,333188,0,7150256,4.45,0.0
Indonesia,6738225,160941,0,6577284,2.39,0.0
Poland,6444960,119010,0,6325950,1.85,0.0
Colombia,6359093,142339,0,6216754,2.24,0.0
Austria,5961143,21970,0,5939173,0.37,0.0
Ukraine,5711929,119283,0,5592646,2.09,0.0
Portugal,5570473,26266,0,5544207,0.47,0.0
Greece,5548487,34779,0,5513708,0.63,0.0
Chile,5192286,64273,0,5128013,1.24,0.0
Malaysia,5044718,36967,0,5007751,0.73,0.0
China,4903524,101056,0,4802468,2.06,0.0
Israel,4803824,12329,0,4791495,0.26,0.0
Belgium,4739365,33814,0,4705551,0.71,0.0
Thailand,4728182,33918,0,4694264,0.72,0.0
Czechia,4618256,42491,0,4575765,0.92,0.0
Canada,4617095,51720,0,4565375,1.12,0.0
Peru,4487553,219539,0,4268014,4.89,0.0
Switzerland,4413911,14210,0,4399701,0.32,0.0
Philippines,4077452,66188,0,4011264,1.62,0.0
South Africa,4067067,102595,0,3964472,2.52,0.0
Denmark,3451036,8345,0,3442691,0.24,0.0
Romania,3346046,67736,0,3278310,2.02,0.0
Sweden,2699339,23777,0,2675562,0.88,0.0
Slovakia,2667551,21035,0,2646516,0.79,0.0
Serbia,2500142,17881,0,2482261,0.72,0.0
Iraq,2465545,25375,0,2440170,1.03,0.0
New Zealand,2236114,2550,0,2233564,0.11,0.0
Singapore,2235294,1722,0,2233572,0.08,0.0
Hungary,2196804,48762,0,2148042,2.22,0.0
Bangladesh,2037871,29445,0,2008426,1.44,0.0
Georgia,1827537,16971,0,1810566,0.93,0.0
Jordan,1746997,14122,0,1732875,0.81,0.0
Ireland,1704502,8708,0,1695794,0.51,0.0
Pakistan,1577411,30644,0,1546767,1.94,0.0
Kazakhstan,1498668,19071,0,1479597,1.27,0.0
Norway,1479506,5213,0,1474293,0.35,0.0
Finland,1463644,8967,0,1454677,0.61,0.0
Slovenia,1331707,7078,0,1324629,0.53,0.0
Lithuania,1307448,9596,0,1297852,0.73,0.0
Bulgaria,1297523,38228,0,1259295,2.95,0.0
Morocco,1272490,16296,0,1256194,1.28,0.0
Croatia,1269326,17987,0,1251339,1.42,0.0
Guatemala,1238247,20182,0,1218065,1.63,0.0
Lebanon,1232828,10841,0,1221987,0.88,0.0
Costa Rica,1209725,9245,0,1200480,0.76,0.0
Bolivia,1194277,22365,0,1171912,1.87,0.0
Tunisia,1151126,29341,0,1121785,2.55,0.0
Cuba,1112643,8530,0,1104113,0.77,0.0
Ecuador,1057121,36014,0,1021107,3.41,0.0
United Arab Emirates,1053213,2349,0,1050864,0.22,0.0
Uruguay,1034303,7617,0,1026686,0.74,0.0
Panama,1031731,8609,0,1023122,0.83,0.0
Mongolia,1007900,2136,0,1005764,0.21,0.0
Nepal,1001154,12020,0,989134,1.2,0.0
Belarus,994037,7118,0,986919,0.72,0.0
Latvia,976255,6269,0,969986,0.64,0.0
Saudi Arabia,830127,9618,0,820509,1.16,0.0
Azerbaijan,828825,10138,0,818687,1.22,0.0
Paraguay,808401,19878,0,788523,2.46,0.0
Bahrain,710693,1553,0,709140,0.22,0.0
West Bank and Gaza,703228,5708,0,697520,0.81,0.0
Sri Lanka,672039,16830,0,655209,2.5,0.0
Kuwait,663860,2570,0,661290,0.39,0.0
Dominican Republic,660790,4384,0,656406,0.66,0.0
Cyprus,650685,1330,0,649355,0.2,0.0
Burma,633950,19490,0,614460,3.07,0.0
Estonia,615433,2946,0,612487,0.48,0.0
Moldova,611140,12003,0,599137,1.96,0.0
Venezuela,552162,5854,0,546308,1.06,0.0
Egypt,515759,24812,0,490947,4.81,0.0
Libya,507187,6437,0,500750,1.27,0.0
Ethiopia,500116,7572,0,492544,1.51,0.0
Qatar,495090,688,0,494402,0.14,0.0
Honduras,472250,11111,0,461139,2.35,0.0
Armenia,447308,8727,0,438581,1.95,0.0
Bosnia and Herzegovina,401729,16280,0,385449,4.05,0.0
Oman,399449,4628,0,394821,1.16,0.0
North Macedonia,346852,9662,0,337190,2.79,0.0
Zambia,343135,4057,0,339078,1.18,0.0
Kenya,342937,5688,0,337249,1.66,0.0
Albania,334457,3598,0,330859,1.08,0.0
Botswana,329758,2801,0,326957,0.85,0.0
Luxembourg,317367,1220,0,316147,0.38,0.0
Mauritius,296042,1044,0,294998,0.35,0.0
Montenegro,288808,2808,0,286000,0.97,0.0
Brunei,279661,225,0,279436,0.08,0.0
Kosovo,273312,3211,0,270101,1.17,0.0
Algeria,271496,6881,0,264615,2.53,0.0
Nigeria,266598,3155,0,263443,1.18,0.0
Zimbabwe,264276,5671,0,258605,2.15,0.0
Uzbekistan,251247,1637,0,249610,0.65,0.0
Mozambique,233214,2242,0,230972,0.96,0.0
Laos,218023,758,0,217265,0.35,0.0
Afghanistan,209451,7896,0,201555,3.77,0.0
Iceland,209137,263,0,208874,0.13,0.0
Kyrgyzstan,206708,2991,0,203717,1.45,0.0
El Salvador,201785,4230,0,197555,2.1,0.0
Trinidad and Tobago,189918,4355,0,185563,2.29,0.0
Maldives,185738,311,0,185427,0.17,0.0
Ghana,171229,1462,0,169767,0.85,0.0
Namibia,171156,4090,0,167066,2.39,0.0
Uganda,170544,3630,0,166914,2.13,0.0
Jamaica,154416,3514,0,150902,2.28,0.0
Cambodia,138719,3056,0,135663,2.2,0.0
Rwanda,133194,1468,0,131726,1.1,0.0
Cameroon,124392,1965,0,122427,1.58,0.0
Malta,117610,828,0,116782,0.7,0.0
Barbados,106798,579,0,106219,0.54,0.0
Angola,105288,1933,0,103355,1.84,0.0
Congo (Kinshasa),95749,1464,0,94285,1.53,0.0
Senegal,88926,1971,0,86955,2.22,0.0
Malawi,88707,2686,0,86021,3.03,0.0
Cote d'Ivoire,88263,834,0,87429,0.94,0.0
Suriname,82467,1404,0,81063,1.7,0.0
Eswatini,74267,1425,0,72842,1.92,0.0
Guyana,73075,1298,0,71777,1.78,0.0
Belize,70757,688,0,70069,0.97,0.0
Fiji,68898,883,0,68015,1.28,0.0
Madagascar,67889,1423,0,66466,2.1,0.0
Sudan,63829,5017,0,58812,7.86,0.0
Mauritania,63668,997,0,62671,1.57,0.0
Cabo Verde,63244,413,0,62831,0.65,0.0
Bhutan,62627,21,0,62606,0.03,0.0
Syria,57467,3164,0,54303,5.51,0.0
Burundi,53631,38,0,53593,0.07,0.0
Seychelles,50665,172,0,50493,0.34,0.0
Gabon,48981,306,0,48675,0.62,0.0
Andorra,47890,165,0,47725,0.34,0.0
Papua New Guinea,46825,670,0,46155,1.43,0.0
Tanzania,42906,846,0,42060,1.97,0.0
Togo,39396,290,0,39106,0.74,0.0
Guinea,38267,467,0,37800,1.22,0.0
Bahamas,37491,833,0,36658,2.22,0.0
Lesotho,34790,723,0,34067,2.08,0.0
Haiti,34202,860,0,33342,2.51,0.0
Mali,33062,743,0,32319,2.25,0.0
Saint Lucia,30004,409,0,29595,1.36,0.0
Benin,27999,163,0,27836,0.58,0.0
Somalia,27324,1361,0,25963,4.98,0.0
Congo (Brazzaville),25087,388,0,24699,1.55,0.0
Solomon Islands,24575,153,0,24422,0.62,0.0
Micronesia,23948,61,0,23887,0.25,0.0
San Marino,23616,122,0,23494,0.52,0.0
Timor-Leste,23419,138,0,23281,0.59,0.0
Burkina Faso,22056,396,0,21660,1.8,0.0
Liechtenstein,21432,89,0,21343,0.42,0.0
Grenada,19680,238,0,19442,1.21,0.0
South Sudan,18368,138,0,18230,0.75,0.0
Tajikistan,17786,125,0,17661,0.7,0.0
Equatorial Guinea,17229,183,0,17046,1.06,0.0
Tonga,16810,13,0,16797,0.08,0.0
Samoa,16607,29,0,16578,0.17,0.0
Monaco,16121,67,0,16054,0.42,0.0
Dominica,15760,74,0,15686,0.47,0.0
Djibouti,15690,189,0,15501,1.2,0.0
Nicaragua,15655,245,0,15410,1.56,0.0
Marshall Islands,15649,17,0,15632,0.11,0.0
Central African Republic,15368,113,0,15255,0.74,0.0
Gambia,12598,372,0,12226,2.95,0.0
Vanuatu,12014,14,0,12000,0.12,0.0
Yemen,11945,2159,0,9786,18.07,0.0
Eritrea,10189,103,0,10086,1.01,0.0
Saint Vincent and the Grenadines,9589,123,0,9466,1.28,0.0
Niger,9508,315,0,9193,3.31,0.0
Antigua and Barbuda,9106,146,0,8960,1.6,0.0
Comoros,9008,161,0,8847,1.79,0.0
Guinea-Bissau,8960,176,0,8784,1.96,0.0
Liberia,8090,295,0,7795,3.65,0.0
Sierra Leone,7760,126,0,7634,1.62,0.0
Chad,7679,194,0,7485,2.53,0.0
Saint Kitts and Nevis,6597,47,0,6550,0.71,0.0
Sao Tome and Principe,6281,77,0,6204,1.23,0.0
Palau,5991,9,0,5982,0.15,0.0
Nauru,5247,1,0,5246,0.02,0.0
Kiribati,5014,18,0,4996,0.36,0.0
Tuvalu,2805,0,0,2805,0.0,0.0
Summer Olympics 2020,865,0,0,865,0.0,0.0
Diamond Princess,712,13,0,699,1.83,0.0
Winter Olympics 2022,535,0,0,535,0.0,0.0
Holy See,29,0,0,29,0.0,0.0
Antarctica,11,0,0,11,0.0,0.0
MS Zaandam,9,2,0,7,22.22,0.0
"Korea, North",1,6,0,-5,600.0,0.0
